"Location","SSID","Network type","Authentication","Encryption","BSSID","Signal","dBm","Radio type","Channel","Basic rates (Mbps)","Other rates (Mbps)"
"Stairs3","SMU_Visitor","","","","b4:5d:50:fe:41:90","20%","-90","802.11ac","100","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b4:5d:50:fe:41:d0","22%","-89","802.11ac","52","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","18:64:72:4c:9a:71","20%","-90","802.11ac","36","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:6b:90","33%","-83.5","802.11ac","60","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:50:a0","53%","-73.5","802.11n","11","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:4a:30","22%","-89","802.11ac","124","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:30:80","26%","-87","802.11n","1","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:57:50","35%","-82.5","802.11ac","56","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","18:64:72:4c:9a:61","40%","-80","802.11n","1","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:6b:80","70%","-65","802.11n","6","12 24","36 48 54"
"Stairs3","SMU_Visitor","","","","b0:b8:67:63:50:b0","38%","-81","802.11ac","153","12 24","36 48 54"
"Stairs3","admin","","","","b4:5d:50:fd:b4:c0","26%","-87","802.11n","1","12 24","36 48 54"
"Stairs3","mary ann's A15","","","","d0:21:f9:b1:7c:71","22%","-89","802.11n","6","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","70mai_Pro Plus+_d39b","","","","8e:9e:21:36:57:62","14%","-93","802.11ac","6","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","Lazada One Concierge_5GHz","","","","44:27:f3:aa:d3:9b","16%","-92","802.11n","1","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","CS168-2160","","","","30:23:03:10:5e:16","20%","-90","802.11ac","108","6 12 24","9 18 36 48 54"
"Stairs3","Galaxy A35 5G 21DE","","","","60:8a:10:ce:6e:3e","50%","-75","802.11g","2","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","#FreeWiFi@TheALcove","","","","86:7e:c9:50:15:80","26%","-87","802.11n","11","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","Marbella-EX2Mini_8A741F","","","","00:04:56:99:30:40","20%","-90","802.11ac","11","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","CAR-6EB6F1","","","","2c:05:47:8a:74:1f","24%","-88","802.11n","6","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","SMU_5G_178902","","","","3c:7a:aa:6e:b6:f1","31%","-84.5","802.11n","6","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","Marbella-EX2Mini_xxxxxxxxx","","","","a0:36:bc:4b:66:44","18%","-91","802.11ax","40","6 24","9 12 18 36 48 54"
"Stairs3","SINGTEL-5P29","","","","94:a4:08:44:29:c1","24%","-88","802.11n","6","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","Allison","","","","0c:8e:29:15:48:ee","16%","-92","802.11n","11","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","CS168-2138","","","","90:3a:72:39:6b:38","38%","-81","802.11n","11","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","E250-7526","","","","60:8a:10:ce:6e:66","43%","-78.5","802.11g","4","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","SMU_178902","","","","30:ea:e7:87:c4:4c","16%","-92","802.11g","2","1 2 5.5 11","6 9 12 18 24 36 48 54"
"Stairs3","SMU_178902","","","","a0:36:bc:4b:66:40","78%","-61","802.11ax","8","1 2 5.5 11","6 9 12 18 24 36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:66:31","22%","-89","802.11ac","48","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:62:1f:b0","33%","-83.5","802.11ac","120","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:35:41","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:30:81","38%","-81","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:57:51","20%","-90","802.11ac","56","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","18:64:72:4c:9a:62","29%","-85.5","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:5a:a1","38%","-81","802.11n","1","12 24","36 48 54"
